Date,Close,High,Low,Open,DailyReturn,Target
12/27/99,1.0126,1.0155,1.0106,1.013,-0.039502271380600036,-0.6660701859031641
12/28/99,1.0059,1.0145,1.0038,1.0126,-0.6660701859031641,-0.049731450169081454
12/29/99,1.0054,1.0105,1.0037,1.0059,-0.049731450169081454,0.32715376226825205
12/30/99,1.0087,1.0092,1.0022,1.0054,0.32715376226825205,0.19788265558523815
12/31/99,1.0107,1.0117,1.0045,1.0087,0.19788265558523815,1.6446087971973662
1/3/00,1.0276,1.028,1.0052,1.0107,1.6446087971973662,0.22332265268472365
1/4/00,1.0299,1.0342,1.0215,1.0276,0.22332265268472365,0.1744693224774667
1/5/00,1.0317,1.04,1.0285,1.0299,0.1744693224774667,-0.1747742499271797
1/6/00,1.0299,1.0412,1.0276,1.0317,-0.1747742499271797,-0.1555966157736114
1/7/00,1.0283,1.033,1.0256,1.0299,-0.1555966157736114,-0.2632605304212095
1/10/00,1.0256,1.03,1.0205,1.0283,-0.2632605304212095,0.6779004454774255
1/11/00,1.0326,1.0337,1.0245,1.0256,0.6779004454774255,-0.13576415826222538
1/12/00,1.0312,1.032,1.0263,1.0326,-0.13576415826222538,-0.5362191673978589
1/13/00,1.0257,1.0315,1.0237,1.0312,-0.5362191673978589,-1.1338986393216393
1/14/00,1.0142,1.0223,1.0112,1.0257,-1.1338986393216393,-0.2372010278711166
1/17/00,1.0118,1.0145,1.0075,1.0142,-0.2372010278711166,0.03951788184152894
1/18/00,1.0122,1.014,1.0075,1.0118,0.03951788184152894,0.009878494517434454
1/19/00,1.0123,1.0127,1.0086,1.0122,0.009878494517434454,0.4327726959771771
1/20/00,1.0167,1.0186,1.0075,1.0123,0.4327726959771771,-0.6833036244800857
1/21/00,1.0098,1.019,1.0048,1.0167,-0.6833036244800857,-0.547645125958385
1/24/00,1.0043,1.007,1.0001,1.0098,-0.547645125958385,-0.25955875012478147
1/25/00,1.0017,1.0095,0.999,1.0043,-0.25955875012478147,-0.03994806751222969
1/26/00,1.0013,1.0055,0.9995,1.0017,-0.03994806751222969,-1.3769363166953585
1/27/00,0.9877,1.003,0.9869,1.0013,-1.3769363166953585,-1.0641563491251484
1/28/00,0.9773,0.989,0.9738,0.9877,-1.0641563491251484,-0.8045384218669331
1/31/00,0.9695,0.9825,0.9667,0.9773,-0.8045384218669331,0.38018906699547117
2/1/00,0.9732,0.9779,0.9665,0.9695,0.38018906699547117,0.24600246002460727
2/2/00,0.9756,0.98,0.969,0.9732,0.24600246002460727,1.4644985355014601
2/3/00,0.9901,0.9947,0.9715,0.9756,1.4644985355014601,-0.7735368956742941
2/4/00,0.9825,0.994,0.9751,0.9901,-0.7735368956742941,-0.23464599061416852
2/7/00,0.9802,0.983,0.9755,0.9825,-0.23464599061416852,0.5579791011463995
2/8/00,0.9857,0.9915,0.9785,0.9802,0.5579791011463995,0.6551098568836877
2/9/00,0.9922,0.9967,0.985,0.9857,0.6551098568836877,-0.6083958629081329
2/10/00,0.9862,0.996,0.9832,0.9922,-0.6083958629081329,0.08105369807497699
2/11/00,0.987,0.9879,0.979,0.9862,0.08105369807497699,-0.5808621216753326
2/14/00,0.9813,0.9915,0.9777,0.987,-0.5808621216753326,0
2/15/00,0.9813,0.9861,0.9765,0.9813,0,0.5271160669032026
2/16/00,0.9865,0.987,0.979,0.9813,0.5271160669032026,0.2124216063119554
2/17/00,0.9886,0.9955,0.9837,0.9865,0.2124216063119554,-0.3960597136183624
2/18/00,0.9847,0.99,0.9811,0.9886,-0.3960597136183624,0.233029381965549
2/21/00,0.987,0.989,0.9845,0.9847,0.233029381965549,1.7910447761193937
2/22/00,1.005,1.0081,0.987,0.987,1.7910447761193937,-0.20939276099311904
2/23/00,1.0029,1.009,1.0011,1.005,-0.20939276099311904,-0.8649301015789944
2/24/00,0.9943,1.004,0.9888,1.0029,-0.8649301015789944,-2.0632313693286806
2/25/00,0.9742,0.9925,0.9725,0.9943,-2.0632313693286806,-0.1439144736842061
2/28/00,0.9728,0.9745,0.939,0.9742,-0.1439144736842061,-0.6622516556291351
2/29/00,0.9664,0.987,0.9645,0.9728,-0.6622516556291351,0.8108385507543895
3/1/00,0.9743,0.9767,0.9625,0.9664,0.8108385507543895,-0.8383357482922902
3/2/00,0.9662,0.9795,0.9612,0.9743,-0.8383357482922902,-0.467921389206608
3/3/00,0.9617,0.968,0.9591,0.9662,-0.467921389206608,-0.2710874778438168
3/6/00,0.9591,0.967,0.956,0.9617,-0.2710874778438168,-0.21943573667711505
3/7/00,0.957,0.9625,0.9528,0.9591,-0.21943573667711505,0.44731093311142006
3/8/00,0.9613,0.9632,0.9522,0.957,0.44731093311142006,0.6716263690845165
3/9/00,0.9678,0.9698,0.9595,0.9613,0.6716263690845165,-0.4984423676012489
3/10/00,0.963,0.9685,0.9599,0.9678,-0.4984423676012489,0.16587186398507628
3/13/00,0.9646,0.973,0.9615,0.963,0.16587186398507628,0.26881720430106865
3/14/00,0.9672,0.9683,0.9592,0.9646,0.26881720430106865,0.08264462809917593
